Income,Age,Education,Marital Status,race,sex,Capital Gain,Capital Loss,Hours per Week,Native Country
 <=50k,25, 7,0,0,1, 0, 0, 40,1
 <=50k,38, 9,1,1,1, 0, 0, 50,1
 >50k,28, 12,1,1,1, 0, 0, 40,1
 >50k,44, 10,1,0,1, 7688, 0, 40,1
 <=50k,34, 6,0,1,1, 0, 0, 30,1
 >50k,63, 15,1,1,1, 3103, 0, 32,1
 <=50k,24, 10,0,1,2, 0, 0, 40,1
 <=50k,55, 4,1,1,1, 0, 0, 10,1
 >50k,65, 9,1,1,1, 6418, 0, 40,1
 <=50k,36, 13,1,1,1, 0, 0, 40,1
 <=50k,26, 9,0,1,2, 0, 0, 39,1
 >50k,48, 9,1,1,1, 3103, 0, 48,1
 >50k,43, 14,1,1,1, 0, 0, 50,1
 <=50k,20, 10,0,1,1, 0, 0, 25,1
 <=50k,43, 9,1,1,2, 0, 0, 30,1
 <=50k,37, 9,0,1,2, 0, 0, 20,1
 >50k,34, 13,1,1,1, 0, 0, 47,1
 <=50k,34, 10,0,0,2, 0, 0, 35,1
 <=50k,25, 13,0,1,1, 0, 0, 43,0
 <=50k,25, 13,1,1,1, 0, 0, 40,1
 >50k,45, 9,1,1,1, 7298, 0, 90,1
 <=50k,22, 9,0,1,1, 0, 0, 20,1
 <=50k,23, 9,0,0,1, 0, 0, 54,1
 <=50k,54, 9,1,1,1, 0, 0, 35,1
 <=50k,32, 10,0,1,1, 0, 0, 60,1
 >50k,46, 10,1,0,1, 7688, 0, 38,1
 <=50k,56, 7,0,1,2, 0, 0, 50,1
 <=50k,24, 13,0,1,1, 0, 0, 50,1
 <=50k,23, 10,1,1,1, 0, 0, 40,1
 <=50k,26, 9,0,1,2, 0, 0, 40,1
 >50k,36, 13,1,1,1, 0, 0, 40,1
 <=50k,22, 3,0,1,1, 0, 0, 50,0
 <=50k,17, 6,0,1,1, 0, 0, 40,1
 <=50k,20, 9,0,1,1, 0, 0, 40,1
 >50k,65, 14,1,1,1, 0, 0, 50,1
 >50k,44, 11,1,1,1, 0, 0, 45,1
 <=50k,36, 9,1,1,1, 0, 0, 40,1
 <=50k,29, 7,1,1,1, 0, 0, 40,1
 <=50k,20, 10,0,1,1, 0, 0, 32,1
 >50k,28, 11,1,1,2, 0, 0, 36,1
 <=50k,39, 4,1,1,1, 0, 0, 40,0
 <=50k,54, 10,1,1,1, 3908, 0, 50,1
 <=50k,52, 7,0,0,2, 0, 0, 18,1
 <=50k,56, 9,0,1,2, 0, 0, 50,1
 <=50k,18, 10,0,1,1, 0, 0, 20,1
 <=50k,39, 9,0,0,1, 0, 0, 40,1
 <=50k,21, 10,0,1,2, 0, 1721, 24,1
 >50k,22, 9,0,1,1, 14084, 0, 60,1
 <=50k,38, 5,0,1,1, 0, 0, 54,0
 <=50k,21, 10,0,1,2, 0, 0, 40,1
 <=50k,63, 9,1,1,1, 0, 0, 40,1
 >50k,34, 13,1,1,1, 3103, 0, 50,1
 >50k,42, 9,1,1,1, 5178, 0, 50,1
 <=50k,33, 9,1,1,1, 0, 0, 40,1
 <=50k,30, 13,0,1,2, 0, 0, 50,1
 <=50k,39, 10,0,1,1, 0, 0, 40,1
 <=50k,26, 14,0,1,2, 0, 0, 40,1
 <=50k,33, 9,0,1,2, 0, 0, 40,1
 <=50k,47, 9,0,1,2, 0, 0, 40,1
 >50k,41, 12,1,1,1, 15024, 0, 60,1
 <=50k,19, 10,0,1,1, 0, 0, 20,1
 <=50k,46, 9,0,1,1, 0, 0, 40,1
 <=50k,43, 9,1,1,1, 0, 0, 48,1
 >50k,55, 10,1,1,1, 15024, 0, 45,1
 <=50k,46, 11,1,1,1, 0, 0, 40,1
 <=50k,30, 9,1,1,1, 0, 0, 40,0
 <=50k,21, 10,0,1,2, 0, 0, 40,1
 <=50k,46, 10,1,0,1, 0, 0, 40,0
 <=50k,41, 9,1,1,1, 0, 0, 50,1
 <=50k,69, 9,1,1,1, 0, 0, 30,1
 <=50k,50, 9,1,1,1, 0, 0, 40,1
 <=50k,20, 10,0,1,2, 0, 0, 40,1
 <=50k,45, 10,1,1,1, 0, 0, 50,1
 <=50k,23, 13,0,1,1, 0, 0, 40,1
 <=50k,24, 10,0,1,1, 0, 1876, 40,1
 <=50k,31, 10,1,1,1, 0, 0, 50,1
 <=50k,43, 9,0,1,2, 0, 0, 44,1
 <=50k,20, 7,0,1,2, 0, 0, 10,1
 >50k,55, 9,1,1,1, 0, 0, 56,1
 <=50k,24, 10,0,1,1, 0, 0, 40,1
 <=50k,59, 13,0,1,2, 0, 0, 25,1
 <=50k,49, 4,0,0,1, 0, 0, 20,1
 >50k,33, 14,1,1,2, 5178, 0, 10,1
 <=50k,59, 13,0,1,1, 0, 0, 40,1
 <=50k,34, 14,0,0,1, 0, 0, 40,1
 <=50k,20, 9,0,1,1, 0, 0, 40,1
 <=50k,25, 13,0,1,2, 0, 0, 40,1
 <=50k,49, 6,1,1,1, 0, 0, 40,1
 >50k,59, 9,1,1,1, 0, 0, 40,1
 <=50k,20, 9,0,1,2, 0, 0, 40,1
 <=50k,33, 10,0,0,2, 0, 0, 35,1
 <=50k,22, 10,0,0,1, 0, 0, 39,1
 <=50k,58, 5,0,1,2, 0, 0, 40,1
 <=50k,52, 9,0,1,2, 0, 0, 28,1
 <=50k,36, 6,0,1,2, 0, 0, 40,1
 <=50k,41, 9,1,1,1, 0, 0, 40,1
 <=50k,28, 9,0,1,1, 2597, 0, 40,1
 <=50k,19, 10,0,0,1, 0, 0, 16,1
 <=50k,18, 9,0,1,2, 0, 0, 28,1
 <=50k,18, 9,0,1,2, 0, 0, 48,1
 <=50k,28, 10,1,1,1, 0, 0, 40,1
 >50k,29, 11,1,1,1, 0, 0, 40,1
 <=50k,40, 10,1,1,1, 0, 0, 40,1
 <=50k,26, 9,0,1,1, 0, 0, 40,1
 <=50k,46, 9,1,1,1, 0, 0, 40,1
 <=50k,23, 7,0,1,2, 0, 0, 24,1
 <=50k,44, 9,0,1,2, 0, 0, 40,1
 >50k,43, 13,0,1,2, 0, 0, 40,1
 <=50k,31, 13,0,1,2, 0, 0, 60,1
 <=50k,18, 10,0,1,2, 0, 0, 25,1
 <=50k,19, 10,0,1,1, 0, 0, 30,1
 <=50k,41, 10,0,1,2, 0, 0, 40,1
 <=50k,41, 9,0,1,2, 0, 0, 40,1
 <=50k,69, 9,0,1,2, 0, 0, 25,1
 >50k,48, 16,1,1,2, 0, 0, 40,1
 <=50k,28, 9,0,1,1, 0, 0, 40,1
 >50k,27, 9,1,1,1, 0, 0, 60,0
 >50k,41, 14,1,1,1, 0, 2415, 50,1
 <=50k,41, 10,1,1,1, 0, 0, 40,1
 <=50k,24, 9,0,0,2, 0, 0, 40,1
 >50k,42, 16,1,1,1, 0, 0, 41,1
 <=50k,57, 9,1,0,1, 0, 0, 48,1
 <=50k,30, 12,0,1,2, 0, 0, 40,1
 >50k,36, 9,1,1,1, 0, 0, 60,1
 <=50k,49, 4,1,0,1, 0, 0, 40,1
 <=50k,33, 9,1,1,2, 0, 0, 35,1
 <=50k,23, 6,1,1,1, 0, 0, 40,1
 <=50k,46, 14,1,1,1, 0, 0, 40,1
