words,FED_18_C.txt,FED_19_C.txt,FED_20_C.txt,FED_49_D.txt,FED_50_D.txt,FED_51_D.txt,FED_52_D.txt,FED_53_D.txt,FED_54_D.txt,FED_55_D.txt,FED_56_D.txt,FED_57_D.txt,FED_58_D.txt,FED_62_D.txt,FED_63_D.txt,FED_11_H.txt,FED_12_H.txt,FED_13_H.txt,FED_15_H.txt,FED_16_H.txt,FED_17_H.txt,FED_1_H.txt,FED_21_H.txt,FED_22_H.txt,FED_23_H.txt,FED_24_H.txt,FED_25_H.txt,FED_26_H.txt,FED_27_H.txt,FED_28_H.txt,FED_29_H.txt,FED_30_H.txt,FED_31_H.txt,FED_32_H.txt,FED_33_H.txt,FED_34_H.txt,FED_35_H.txt,FED_36_H.txt,FED_59_H.txt,FED_60_H.txt,FED_61_H.txt,FED_65_H.txt,FED_66_H.txt,FED_67_H.txt,FED_68_H.txt,FED_69_H.txt,FED_6_H.txt,FED_70_H.txt,FED_71_H.txt,FED_72_H.txt,FED_73_H.txt,FED_74_H.txt,FED_75_H.txt,FED_76_H.txt,FED_77_H.txt,FED_78_H.txt,FED_79_H.txt,FED_7_H.txt,FED_80_H.txt,FED_81_H.txt,FED_82_H.txt,FED_83_H.txt,FED_84_H.txt,FED_85_H.txt,FED_8_H.txt,FED_9_H.txt,FED_2_J.txt,FED_3_J.txt,FED_4_J.txt,FED_5_J.txt,FED_64_J.txt,FED_10_M.txt,FED_14_M.txt,FED_37_M.txt,FED_38_M.txt,FED_39_M.txt,FED_40_M.txt,FED_41_M.txt,FED_42_M.txt,FED_43_M.txt,FED_44_M.txt,FED_45_M.txt,FED_46_M.txt,FED_47_M.txt,FED_48_M.txt
neighbors,0.000473260766682442,0.0009746588693957114,0.0006565988181221273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836470096194061,0.0,0.0,0.0004623208506703652,0.0,0.0,0.0004897159647404506,0.0,0.0,0.0,0.0,0.0,0.0004977600796416127,0.0005022601707684581,0.0,0.0,0.0,0.00044662795891022776,0.0,0.0,0.0,0.0,0.0,0.0004428697962798937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013003901170351106,0.0,0.0,0.0,0.0,0.0,0.0,0.0014570179698882952,0.0,0.0,0.0,0.0006112469437652812,0.003711952487008166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002810567734682406,0.0007178750897343862,0.0002904443799012489,0.0,0.0,0.0,0.0,0.0
all,0.003786086133459536,0.0024366471734892786,0.004596191726854892,0.0036275695284159614,0.004500450045004501,0.006246746486205101,0.0016207455429497568,0.004147465437788019,0.004987531172069825,0.0019579050416054823,0.005717916137229987,0.0031631269769543608,0.006688963210702341,0.004600585529067336,0.003286230693394676,0.0051937674790251695,0.0027739251040221915,0.0031023784901758012,0.006798316607316284,0.004407443682664055,0.007633587786259542,0.005569306930693069,0.0014992503748125937,0.0033707865168539327,0.00554016620498615,0.003982080637132902,0.0035158211953792064,0.0033500837520938024,0.0027434842249657062,0.009334163036714374,0.001786511835640911,0.002535496957403651,0.005178365937859608,0.004021447721179625,0.004722550177095631,0.0027039206849932404,0.003100088573959256,0.004010207801676996,0.001563314226159458,0.004438526409232135,0.0013114754098360656,0.001976284584980237,0.003527336860670194,0.0024140012070006035,0.005960264900662252,0.00600400266844563,0.0024521824423737125,0.0022471910112359553,0.0011435105774728416,0.0019569471624266144,0.0033755274261603376,0.0009950248756218905,0.003593429158110883,0.002168256721595837,0.005053057099545225,0.00228310502283105,0.0019230769230769232,0.005201560468140442,0.007723577235772358,0.0033163265306122448,0.004516129032258065,0.004792879150975694,0.0033349213911386373,0.004789977892409728,0.004371053909664886,0.004012036108324975,0.0023923444976076554,0.0027624309392265192,0.0024449877750611247,0.002969561989606533,0.0034557235421166306,0.0013315579227696406,0.0027958993476234857,0.003679175864606328,0.002406015037593985,0.004973221117061974,0.0036303630363036304,0.00477796514896009,0.003230437903804738,0.003775776938716236,0.006882312456985547,0.0037647058823529413,0.0019083969465648854,0.004371584699453552,0.006427423674343867
partial,0.0,0.0,0.0,0.0,0.0,0.0,0.0005402485143165856,0.0,0.0,0.0,0.0,0.0,0.0009555661729574773,0.0,0.0,0.0011985617259288853,0.0004623208506703652,0.0,0.0003237293622531564,0.0004897159647404506,0.0,0.0006188118811881188,0.0004997501249375312,0.0,0.0,0.0,0.0005022601707684581,0.0,0.0,0.0,0.0,0.0,0.0,0.0006702412868632708,0.0,0.0,0.0,0.0,0.0,0.0004438526409232135,0.0,0.0,0.0008818342151675485,0.0,0.0,0.0,0.0004904364884747426,0.0,0.0,0.0004892367906066536,0.0,0.0,0.0,0.0,0.0,0.00032615786040443573,0.0,0.0,0.0004065040650406504,0.00025510204081632655,0.0006451612903225806,0.00017117425539198904,0.0,0.00036845983787767134,0.0,0.0,0.0,0.0,0.0,0.0007423904974016332,0.0,0.00033288948069241014,0.0,0.0003679175864606328,0.0,0.0,0.00033003300330033004,0.0,0.0003589375448671931,0.0,0.0006882312456985547,0.0,0.0003816793893129771,0.001092896174863388,0.0
consider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000997506234413965,0.0004894762604013706,0.0006353240152477764,0.00045187528242205153,0.0,0.0,0.0,0.00039952057530962844,0.0,0.002068252326783868,0.0003237293622531564,0.0,0.0,0.0,0.0,0.0002808988764044944,0.0,0.0,0.0,0.0,0.0,0.0,0.00044662795891022776,0.0,0.0,0.0,0.0,0.0,0.0004428697962798937,0.0,0.0005211047420531526,0.0,0.0006557377049180328,0.0004940711462450593,0.0,0.0,0.0,0.00066711140760507,0.0,0.0,0.0,0.0009784735812133072,0.0008438818565400844,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0009615384615384616,0.0,0.0004065040650406504,0.0007653061224489796,0.0006451612903225806,0.0,0.0,0.0,0.00048567265662943174,0.0,0.0,0.0020718232044198894,0.0006112469437652812,0.0007423904974016332,0.00043196544276457883,0.0,0.0,0.0,0.0003007518796992481,0.0,0.0,0.0,0.0,0.0002904443799012489,0.0,0.0,0.0003816793893129771,0.0,0.0
pardon,0.0,0.0,0.0006565988181221273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066711140760507,0.0,0.0,0.0,0.0,0.0,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006906077348066298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007285974499089253,0.0
dissolution,0.000473260766682442,0.0,0.0013131976362442547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039952057530962844,0.0,0.0,0.0,0.0004897159647404506,0.0,0.0006188118811881188,0.0,0.0002808988764044944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005211047420531526,0.0,0.0013114754098360656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043346337234503684,0.0,0.0,0.0,0.0,0.0,0.00036845983787767134,0.00048567265662943174,0.0,0.0005980861244019139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003007518796992481,0.00038255547054322876,0.0,0.0002810567734682406,0.0,0.0002904443799012489,0.0,0.0,0.0,0.0,0.0
out,0.001419782300047326,0.0009746588693957114,0.0013131976362442547,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0004894762604013706,0.0,0.0,0.0,0.0012547051442910915,0.0006572461386789353,0.0,0.0004623208506703652,0.001034126163391934,0.0003237293622531564,0.0,0.0006361323155216285,0.0006188118811881188,0.0004997501249375312,0.0,0.0,0.0004977600796416127,0.0,0.0008375209380234506,0.0013717421124828531,0.0,0.0008932559178204555,0.002028397565922921,0.0005753739930955121,0.0006702412868632708,0.0,0.0009013068949977468,0.0004428697962798937,0.0003645643456069996,0.0,0.0,0.0,0.0004940711462450593,0.0,0.0006035003017501509,0.0013245033112582781,0.000333555703802535,0.0014713094654242277,0.0006420545746388443,0.0,0.0004892367906066536,0.0,0.001990049751243781,0.000513347022587269,0.0017346053772766695,0.0005053057099545225,0.0009784735812133072,0.0009615384615384616,0.0,0.0012195121951219512,0.0012755102040816326,0.0006451612903225806,0.0005135227661759672,0.00023820867079561695,0.0007369196757553427,0.0009713453132588635,0.0,0.0,0.0006906077348066298,0.0012224938875305623,0.0,0.0,0.0,0.0,0.0003679175864606328,0.0006015037593984962,0.00038255547054322876,0.0013201320132013201,0.0002810567734682406,0.0007178750897343862,0.0002904443799012489,0.0,0.0,0.0003816793893129771,0.0,0.0010712372790573112
results,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004182350480970305,0.0,0.0,0.0,0.0,0.0003237293622531564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006702412868632708,0.0005903187721369539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004065040650406504,0.0,0.0,0.00017117425539198904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043196544276457883,0.00033288948069241014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obviate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002808988764044944,0.0,0.0,0.0005022601707684581,0.0,0.0,0.0,0.0,0.0,0.0005753739930955121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004940711462450593,0.0,0.0006035003017501509,0.0,0.0,0.0,0.0,0.0,0.0004892367906066536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004065040650406504,0.00025510204081632655,0.0,0.00017117425539198904,0.0,0.0,0.0,0.0,0.0,0.0006906077348066298,0.0,0.0,0.00043196544276457883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003589375448671931,0.0,0.0,0.0,0.0,0.0,0.0
founded,0.000473260766682442,0.0009746588693957114,0.0,0.0006045949214026602,0.0009000900090009,0.0005205622071837585,0.0,0.0009216589861751152,0.0014962593516209476,0.0,0.0,0.0,0.0,0.0012547051442910915,0.0,0.0,0.0,0.001034126163391934,0.0003237293622531564,0.0004897159647404506,0.0006361323155216285,0.0006188118811881188,0.0,0.0002808988764044944,0.0,0.0,0.0005022601707684581,0.0,0.0006858710562414266,0.0,0.0,0.0,0.0005753739930955121,0.0,0.0005903187721369539,0.0004506534474988734,0.0,0.0003645643456069996,0.0,0.0004438526409232135,0.0,0.0,0.0,0.0006035003017501509,0.0006622516556291391,0.000333555703802535,0.0004904364884747426,0.0,0.0,0.0,0.0,0.0,0.000513347022587269,0.0004336513443191674,0.0,0.0,0.0,0.0,0.0008130081300813008,0.00025510204081632655,0.0006451612903225806,0.0,0.0007146260123868509,0.0,0.0,0.0,0.0005980861244019139,0.0,0.0,0.0,0.00043196544276457883,0.0,0.0009319664492078285,0.0007358351729212656,0.0,0.0011476664116296864,0.00033003300330033004,0.0,0.0003589375448671931,0.0005808887598024978,0.00034411562284927734,0.0,0.0,0.00036429872495446266,0.0005356186395286556
